ID,timestamp,Blink Rate,Yawning Rate,PERCLOS,SDLP,Lane Keeping Ratio,Lane Departure Frequency,Steering Entropy,SRR,SAV,fatigue_camera_level,fatigue_steering_level,fatigue_lane_level,fan,music,vibration,reason
1,2025-06-27 12:46:14.059432,0.5167,0.0,0.085,0.3523,1.0,0.0,2.675,0.1833,0.0388,Moderate,Moderate,Low,level 2,beep,off,Driver condition degrades gradually. Steering entropy and blink rate are moderately elevated. Activate Beep signal and fan to alert Driver.
2,2025-06-27 12:46:57.659447,0.4833,0.0,0.0833,0.35,1.0,0.0,2.4369,0.2833,0.0648,Low,Low,Low,off,off,off,Driver maintains optimal lane performance with lane keeping ratio 1.0. No intervention needed.
3,2025-06-27 12:47:38.659969,0.4667,0.0,0.0633,0.5668,0.9766,0.2333,2.516,0.2833,0.1198,Low,Low,Moderate,off,off,off,Blink rate (0.4667) and PERCLOS (0.0633) indicate high alertness. No action is required at this time.
4,2025-06-27 12:48:20.459213,0.4167,0.0,0.0508,0.5347,0.9833,0.1667,2.1361,0.45,0.0706,Low,Low,Moderate,off,off,off,Visual and Steering inputs are steady. Steering entropy is low at 2.1361. No action needed.
5,2025-06-27 12:49:00.559232,0.4333,0.0,0.0508,0.622,0.9717,0.2833,2.7508,0.45,0.0252,Low,Low,High,off,off,off,Blink rate (0.4333) and PERCLOS (0.0508) indicate high alertness. No action is required at this time.
6,2025-06-27 12:49:43.159742,0.4667,0.0,0.0508,0.4948,0.9767,0.2333,2.0036,0.4167,0.0593,Low,Low,Moderate,off,off,off,Driver maintains optimal lane performance with lane keeping ratio 0.9767. No intervention needed.
"7,2025-06-27 12:50:28.559395,0.5667,0.0,0.0617,0.2488,1.0,0.0,2.0123,0.45,0.0624,Moderate,Low,Low,level 2,off,off,""Camera shows moderate visual fatigue — blink rate at 0.5667, though steering is stable. Fan level 2 recommended."""
8,2025-06-27 12:51:22.559933,0.5167,0.0,0.055,0.3009,1.0,0.0,2.5794,0.4333,0.0291,Low,Low,Low,off,off,off,No yawns detected and blink rate (0.5167) is well-controlled. No intervention necessary.
"9,2025-06-27 12:52:02.659551,0.5,0.0,0.0633,0.3429,1.0,0.0,2.8792,0.3333,0.028,Moderate,Low,Low,level 2,off,off,""Camera shows moderate visual fatigue — blink rate at 0.5, though steering is stable. Fan level 2 recommended."""
10,2025-06-27 12:52:42.959749,0.4333,0.0,0.0533,0.3424,1.0,0.0,2.2513,0.2833,0.0536,Low,Low,Low,off,off,off,No yawns detected and blink rate (0.4333) is well-controlled. No intervention necessary.
11,2025-06-27 12:53:26.559796,0.55,0.0,0.0617,0.6038,0.9717,0.2833,2.505,0.2167,0.0483,Moderate,Low,High,level 2,off,off,Fatigue signs limited to visual domain. Yawning rate (0.0) suggests light drowsiness. Recommended to tun on fan to level 2.
12,2025-06-27 12:59:21.859313,0.5667,0.0,0.07,0.4119,1.0,0.0,2.9297,0.35,0.0229,Moderate,Low,Moderate,level 2,off,off,Yawning (0.0) present with clear eyes — fan should help counter alertness dip. Regulating fan speed to level 2.
13,2025-06-27 13:00:01.959631,0.5833,0.0,0.0625,0.3568,1.0,0.0,2.8498,0.35,0.021,Moderate,Low,Low,level 2,off,off,Visual strain increasing (PERCLOS 0.0625) but motor control intact. Increased airflow recommended. Turn on fan to level 2
14,2025-06-27 13:00:41.959614,0.5667,0.0,0.0667,0.3401,1.0,0.0,2.527,0.2333,0.0272,Moderate,Low,Low,level 2,off,off,Visual strain increasing (PERCLOS 0.0667) but motor control intact. Increased airflow recommended. Turn on fan to level 2
